Name,ID
金合欢木按钮,minecraft:acacia_button
金合欢木门,minecraft:acacia_door
金合欢木栅栏,minecraft:acacia_fence
金合欢木栅栏门,minecraft:acacia_fence_gate
金合欢树叶,minecraft:acacia_leaves
金合欢原木,minecraft:acacia_log
金合欢木板,minecraft:acacia_planks
金合欢木压力板,minecraft:acacia_pressure_plate
金合欢树苗,minecraft:acacia_sapling
金合欢木告示牌,minecraft:acacia_sign
金合欢木台阶,minecraft:acacia_slab
金合欢木楼梯,minecraft:acacia_stairs
金合欢木活板门,minecraft:acacia_trapdoor
墙上的金合欢木告示牌,minecraft:acacia_wall_sign
金合欢木,minecraft:acacia_wood
激活铁轨,minecraft:activator_rail
空气,minecraft:air
绒球葱,minecraft:allium
紫水晶块,minecraft:amethyst_block
紫水晶簇,minecraft:amethyst_cluster
远古残骸,minecraft:ancient_debris
安山岩,minecraft:andesite
安山岩台阶,minecraft:andesite_slab
安山岩楼梯,minecraft:andesite_stairs
安山岩墙,minecraft:andesite_wall
铁砧,minecraft:anvil
结果的西瓜茎,minecraft:attached_melon_stem
结果的南瓜茎,minecraft:attached_pumpkin_stem
杜鹃花丛,minecraft:azalea
杜鹃树叶,minecraft:azalea_leaves
蓝花美耳草,minecraft:azure_bluet
竹子,minecraft:bamboo
竹笋,minecraft:bamboo_sapling
木桶,minecraft:barrel
屏障,minecraft:barrier
玄武岩,minecraft:basalt
信标,minecraft:beacon
基岩,minecraft:bedrock
蜂巢,minecraft:bee_nest
蜂箱,minecraft:beehive
甜菜根,minecraft:beetroots
钟,minecraft:bell
大型垂滴叶,minecraft:big_dripleaf
大型垂滴叶茎,minecraft:big_dripleaf_stem
白桦木按钮,minecraft:birch_button
白桦木门,minecraft:birch_door
白桦木栅栏,minecraft:birch_fence
白桦木栅栏门,minecraft:birch_fence_gate
白桦树叶,minecraft:birch_leaves
白桦原木,minecraft:birch_log
白桦木板,minecraft:birch_planks
白桦木压力板,minecraft:birch_pressure_plate
白桦树苗,minecraft:birch_sapling
白桦木告示牌,minecraft:birch_sign
白桦木台阶,minecraft:birch_slab
白桦木楼梯,minecraft:birch_stairs
白桦木活板门,minecraft:birch_trapdoor
墙上的白桦木告示牌,minecraft:birch_wall_sign
白桦木,minecraft:birch_wood
黑色旗帜,minecraft:black_banner
黑色床,minecraft:black_bed
黑色蜡烛,minecraft:black_candle
插上黑色蜡烛的蛋糕,minecraft:black_candle_cake
黑色地毯,minecraft:black_carpet
黑色混凝土,minecraft:black_concrete
黑色混凝土粉末,minecraft:black_concrete_powder
黑色带釉陶瓦,minecraft:black_glazed_terracotta
黑色潜影盒,minecraft:black_shulker_box
黑色染色玻璃,minecraft:black_stained_glass
黑色染色玻璃板,minecraft:black_stained_glass_pane
黑色陶瓦,minecraft:black_terracotta
墙上的黑色旗帜,minecraft:black_wall_banner
黑色羊毛,minecraft:black_wool
黑石,minecraft:blackstone
黑石台阶,minecraft:blackstone_slab
黑石楼梯,minecraft:blackstone_stairs
黑石墙,minecraft:blackstone_wall
高炉,minecraft:blast_furnace
蓝色旗帜,minecraft:blue_banner
蓝色床,minecraft:blue_bed
蓝色蜡烛,minecraft:blue_candle
插上蓝色蜡烛的蛋糕,minecraft:blue_candle_cake
蓝色地毯,minecraft:blue_carpet
蓝色混凝土,minecraft:blue_concrete
蓝色混凝土粉末,minecraft:blue_concrete_powder
蓝色带釉陶瓦,minecraft:blue_glazed_terracotta
蓝冰,minecraft:blue_ice
兰花,minecraft:blue_orchid
蓝色潜影盒,minecraft:blue_shulker_box
蓝色染色玻璃,minecraft:blue_stained_glass
蓝色染色玻璃板,minecraft:blue_stained_glass_pane
蓝色陶瓦,minecraft:blue_terracotta
墙上的蓝色旗帜,minecraft:blue_wall_banner
蓝色羊毛,minecraft:blue_wool
骨块,minecraft:bone_block
书架,minecraft:bookshelf
脑纹珊瑚,minecraft:brain_coral
脑纹珊瑚块,minecraft:brain_coral_block
脑纹珊瑚扇,minecraft:brain_coral_fan
墙上的脑纹珊瑚扇,minecraft:brain_coral_wall_fan
酿造台,minecraft:brewing_stand
砖台阶,minecraft:brick_slab
砖楼梯,minecraft:brick_stairs
砖块墙,minecraft:brick_wall
砖块,minecraft:bricks
棕色旗帜,minecraft:brown_banner
棕色床,minecraft:brown_bed
棕色蜡烛,minecraft:brown_candle
插上棕色蜡烛的蛋糕,minecraft:brown_candle_cake
棕色地毯,minecraft:brown_carpet
棕色混凝土,minecraft:brown_concrete
棕色混凝土粉末,minecraft:brown_concrete_powder
棕色带釉陶瓦,minecraft:brown_glazed_terracotta
棕色蘑菇,minecraft:brown_mushroom
棕色蘑菇方块,minecraft:brown_mushroom_block
棕色潜影盒,minecraft:brown_shulker_box
棕色染色玻璃,minecraft:brown_stained_glass
棕色染色玻璃板,minecraft:brown_stained_glass_pane
棕色陶瓦,minecraft:brown_terracotta
墙上的棕色旗帜,minecraft:brown_wall_banner
棕色羊毛,minecraft:brown_wool
气泡柱,minecraft:bubble_column,minecraft:
气泡珊瑚,minecraft:bubble_coral
气泡珊瑚块,minecraft:bubble_coral_block
气泡珊瑚扇,minecraft:bubble_coral_fan
墙上的气泡珊瑚扇,minecraft:bubble_coral_wall_fan
紫水晶母岩,minecraft:budding_amethyst
仙人掌,minecraft:cactus
蛋糕,minecraft:cake
方解石,minecraft:calcite
营火,minecraft:campfire
蜡烛,minecraft:candle
插上蜡烛的蛋糕,minecraft:candle_cake
胡萝卜,minecraft:carrots
制图台,minecraft:cartography_table
雕刻南瓜,minecraft:carved_pumpkin
炼药锅,minecraft:cauldron
洞穴空气,minecraft:cave_air
洞穴藤蔓,minecraft:cave_vines
洞穴藤蔓植株,minecraft:cave_vines_plant
锁链,minecraft:chain
连锁型命令方块,minecraft:chain_command_block
箱子,minecraft:chest
开裂的铁砧,minecraft:chipped_anvil
雕纹深板岩,minecraft:chiseled_deepslate
雕纹下界砖块,minecraft:chiseled_nether_bricks
雕纹磨制黑石,minecraft:chiseled_polished_blackstone
雕纹石英块,minecraft:chiseled_quartz_block
雕纹红砂岩,minecraft:chiseled_red_sandstone
雕纹砂岩,minecraft:chiseled_sandstone
雕纹石砖,minecraft:chiseled_stone_bricks
紫颂花,minecraft:chorus_flower
紫颂植株,minecraft:chorus_plant
